Timestamp_ET,Snore
2026-03-28 21:05:19.000,0
2026-03-28 21:21:03.000,0.1
2026-03-28 21:21:09.000,0
2026-03-28 21:26:01.000,0.02
2026-03-28 21:26:05.000,0
2026-03-29 00:01:13.000,0.02
2026-03-29 00:01:17.000,0
2026-03-29 02:41:41.000,0.02
2026-03-29 02:41:45.000,0
2026-03-29 02:55:47.000,0.06
2026-03-29 02:55:53.000,0
2026-03-29 03:21:29.000,0.02
2026-03-29 03:21:33.000,0.04
2026-03-29 03:21:37.000,0
2026-03-29 03:29:49.000,0.02
2026-03-29 03:29:53.000,0
2026-03-29 04:40:19.000,0
2026-03-29 05:01:56.000,0
2026-03-29 05:02:10.000,0.02
2026-03-29 05:02:22.000,0
2026-03-29 05:33:42.000,0.02
2026-03-29 05:33:46.000,0
2026-03-29 06:19:04.000,0.02
2026-03-29 06:19:24.000,0
2026-03-29 07:36:38.000,0.02
2026-03-29 07:36:42.000,0
2026-03-29 07:52:56.000,0
