Timestamp_ET,LeakRate_Lpm
2026-03-14 00:38:13.000,2.4
2026-03-14 00:38:15.000,2.4
2026-03-14 00:38:15.000,8.4
2026-03-14 00:38:17.000,8.4
2026-03-14 00:38:17.000,7.2
2026-03-14 00:38:19.000,7.2
2026-03-14 00:38:19.000,8.4
2026-03-14 00:38:21.000,8.4
2026-03-14 00:38:21.000,9.6
2026-03-14 00:38:25.000,9.6
2026-03-14 00:38:25.000,10.8
2026-03-14 00:38:29.000,10.8
2026-03-14 00:38:29.000,12
2026-03-14 00:38:31.000,12
2026-03-14 00:38:31.000,10.8
2026-03-14 00:38:33.000,10.8
2026-03-14 00:38:33.000,15.6
2026-03-14 00:38:35.000,15.6
2026-03-14 00:38:35.000,10.8
2026-03-14 00:38:39.000,10.8
2026-03-14 00:38:39.000,12
2026-03-14 00:38:41.000,12
2026-03-14 00:38:41.000,8.4
2026-03-14 00:38:43.000,8.4
2026-03-14 00:38:43.000,10.8
2026-03-14 00:39:03.000,10.8
2026-03-14 00:39:03.000,12
2026-03-14 00:39:07.000,12
2026-03-14 00:39:07.000,13.2
2026-03-14 00:39:11.000,13.2
2026-03-14 00:39:11.000,12
2026-03-14 00:39:13.000,12
2026-03-14 00:39:13.000,10.8
2026-03-14 00:39:25.000,10.8
2026-03-14 00:39:25.000,12
2026-03-14 00:39:31.000,12
2026-03-14 00:39:31.000,13.2
2026-03-14 00:39:39.000,13.2
2026-03-14 00:39:39.000,12
2026-03-14 00:39:47.000,12
2026-03-14 00:39:47.000,10.8
2026-03-14 00:39:53.000,10.8
2026-03-14 00:39:53.000,12
2026-03-14 00:39:59.000,12
2026-03-14 00:39:59.000,13.2
2026-03-14 00:40:07.000,13.2
2026-03-14 00:40:07.000,12
2026-03-14 00:43:09.000,12
2026-03-14 00:43:09.000,10.8
2026-03-14 00:43:11.000,10.8
2026-03-14 00:43:11.000,12
2026-03-14 00:43:29.000,12
2026-03-14 00:43:29.000,10.8
2026-03-14 00:43:33.000,10.8
2026-03-14 00:43:33.000,12
2026-03-14 00:43:53.000,12
2026-03-14 00:43:53.000,10.8
2026-03-14 00:43:55.000,10.8
2026-03-14 00:43:55.000,12
2026-03-14 00:44:01.000,12
2026-03-14 00:44:01.000,10.8
2026-03-14 00:44:03.000,10.8
2026-03-14 00:44:03.000,12
2026-03-14 00:44:25.000,12
2026-03-14 00:44:25.000,10.8
2026-03-14 00:44:27.000,10.8
2026-03-14 00:44:27.000,12
2026-03-14 00:44:39.000,12
2026-03-14 00:44:39.000,10.8
2026-03-14 00:44:43.000,10.8
2026-03-14 00:44:43.000,12
2026-03-14 00:44:59.000,12
2026-03-14 00:44:59.000,10.8
2026-03-14 00:45:01.000,10.8
2026-03-14 00:45:01.000,12
2026-03-14 00:45:27.000,12
2026-03-14 00:45:27.000,10.8
2026-03-14 00:45:29.000,10.8
2026-03-14 00:45:29.000,12
2026-03-14 00:45:41.000,12
2026-03-14 00:45:41.000,10.8
2026-03-14 00:45:43.000,10.8
2026-03-14 00:45:43.000,12
2026-03-14 00:45:51.000,12
2026-03-14 00:45:51.000,10.8
2026-03-14 00:45:53.000,10.8
2026-03-14 00:45:53.000,12
2026-03-14 00:46:13.000,12
2026-03-14 00:46:13.000,10.8
2026-03-14 00:46:21.000,10.8
2026-03-14 00:46:21.000,12
2026-03-14 00:46:37.000,12
2026-03-14 00:46:37.000,10.8
2026-03-14 00:46:39.000,10.8
2026-03-14 00:46:39.000,12
2026-03-14 00:46:43.000,12
2026-03-14 00:46:43.000,10.8
2026-03-14 00:46:49.000,10.8
2026-03-14 00:46:49.000,12
2026-03-14 00:47:01.000,12
2026-03-14 00:47:01.000,10.8
2026-03-14 00:47:03.000,10.8
2026-03-14 00:47:03.000,12
2026-03-14 00:47:09.000,12
2026-03-14 00:47:09.000,10.8
2026-03-14 00:47:13.000,10.8
2026-03-14 00:47:13.000,12
2026-03-14 00:47:37.000,12
2026-03-14 00:47:37.000,13.2
2026-03-14 00:47:39.000,13.2
2026-03-14 00:47:39.000,14.4
2026-03-14 00:47:41.000,14.4
2026-03-14 00:47:41.000,13.2
2026-03-14 00:47:43.000,13.2
2026-03-14 00:47:43.000,10.8
2026-03-14 00:47:45.000,10.8
2026-03-14 00:47:45.000,12
2026-03-14 00:47:47.000,12
2026-03-14 00:47:47.000,7.2
2026-03-14 00:47:53.000,7.2
2026-03-14 00:47:53.000,8.4
2026-03-14 00:47:57.000,8.4
