Metric,Min,Med,95th_pct,99_5th_pct
Pressure,5.8,5.8,5.8,5.8
Epap,5.8,5.8,5.8,5.8
Leak rate,4.8,15.6,38.4,50.4
Resp rate,4.6,15.6,21.2,32.2
Flow limit,0.0,0.0,0.13,0.26
