Timestamp_ET,FlowLimit
2026-03-20 20:47:13.000,0
2026-03-20 20:48:11.000,0.01
2026-03-20 20:48:23.000,0
2026-03-20 20:48:29.000,0.06
2026-03-20 20:48:43.000,0
2026-03-20 20:51:23.000,0.11
2026-03-20 20:51:47.000,0
2026-03-20 20:52:39.000,0.03
2026-03-20 20:52:51.000,0
2026-03-20 20:54:27.000,0.1
2026-03-20 20:54:49.000,0
2026-03-20 20:55:23.000,0.04
2026-03-20 20:55:37.000,0
2026-03-20 21:00:31.000,0.08
2026-03-20 21:00:49.000,0
2026-03-20 21:01:43.000,0.01
2026-03-20 21:01:47.000,0.02
2026-03-20 21:01:55.000,0
2026-03-20 21:03:27.000,0.03
2026-03-20 21:03:39.000,0
2026-03-20 21:05:43.000,0.02
2026-03-20 21:06:03.000,0
2026-03-20 21:07:01.000,0.08
2026-03-20 21:07:17.000,0
2026-03-20 21:14:13.000,0.19
2026-03-20 21:14:35.000,0
2026-03-20 21:14:57.000,0.04
2026-03-20 21:15:17.000,0
2026-03-20 21:19:29.000,0.04
2026-03-20 21:19:41.000,0
2026-03-20 21:27:21.000,0.08
2026-03-20 21:27:43.000,0
2026-03-20 21:30:25.000,0.07
2026-03-20 21:30:37.000,0
2026-03-20 21:31:23.000,0.13
2026-03-20 21:31:33.000,0
2026-03-20 21:32:21.000,0.01
2026-03-20 21:32:35.000,0.07
2026-03-20 21:32:39.000,0.06
2026-03-20 21:32:49.000,0
2026-03-20 21:39:27.000,0.09
2026-03-20 21:39:41.000,0
2026-03-20 21:42:43.000,0.02
2026-03-20 21:42:55.000,0
2026-03-20 21:42:59.000,0.06
2026-03-20 21:43:13.000,0
2026-03-20 21:43:25.000,0.13
2026-03-20 21:43:39.000,0
2026-03-20 21:44:35.000,0.01
2026-03-20 21:44:45.000,0.08
2026-03-20 21:44:47.000,0.06
2026-03-20 21:44:55.000,0
2026-03-20 21:48:17.000,0.02
2026-03-20 21:48:37.000,0
2026-03-20 21:59:39.000,0.04
2026-03-20 21:59:53.000,0
2026-03-20 22:00:15.000,0.07
2026-03-20 22:00:19.000,0.11
2026-03-20 22:00:27.000,0.04
2026-03-20 22:00:35.000,0.18
2026-03-20 22:00:39.000,0.27
2026-03-20 22:00:43.000,0.36
2026-03-20 22:00:47.000,0.28
2026-03-20 22:00:55.000,0.15
2026-03-20 22:00:59.000,0.19
2026-03-20 22:01:03.000,0.1
2026-03-20 22:01:07.000,0.17
2026-03-20 22:01:11.000,0.12
2026-03-20 22:01:19.000,0.14
2026-03-20 22:01:23.000,0.17
2026-03-20 22:01:27.000,0.24
2026-03-20 22:01:31.000,0.23
2026-03-20 22:01:39.000,0.19
2026-03-20 22:01:41.000,0.09
2026-03-20 22:01:47.000,0.03
2026-03-20 22:01:51.000,0
2026-03-20 22:06:25.000,0.08
2026-03-20 22:06:45.000,0
2026-03-20 22:06:55.000,0.07
2026-03-20 22:06:59.000,0.18
2026-03-20 22:07:07.000,0.15
2026-03-20 22:07:11.000,0.05
2026-03-20 22:07:17.000,0.1
2026-03-20 22:07:29.000,0
2026-03-20 22:07:43.000,0.05
2026-03-20 22:07:57.000,0
2026-03-20 22:08:37.000,0.18
