Metric,Min,Med,95th_pct,99_5th_pct
Pressure,5.8,5.8,5.8,5.8
Epap,5.8,5.8,5.8,5.8
Leak rate,0.0,15.6,46.8,64.8
Resp rate,6.6,15.8,21.8,32.4
Flow limit,0.0,0.0,0.14,0.3
