Timestamp_ET,FlowLimit
2026-03-11 23:14:47.000,0
2026-03-11 23:16:01.000,0.06
2026-03-11 23:16:13.000,0
2026-03-11 23:16:27.000,0.09
2026-03-11 23:16:39.000,0.07
2026-03-11 23:16:43.000,0.13
2026-03-11 23:16:45.000,0.23
2026-03-11 23:16:49.000,0.2
2026-03-11 23:16:53.000,0.19
2026-03-11 23:16:57.000,0.14
2026-03-11 23:17:01.000,0.16
2026-03-11 23:17:05.000,0.11
2026-03-11 23:17:09.000,0.09
2026-03-11 23:17:11.000,0.03
2026-03-11 23:17:17.000,0.02
2026-03-11 23:17:21.000,0
2026-03-11 23:18:11.000,0.01
2026-03-11 23:18:15.000,0
2026-03-11 23:18:17.000,0.04
2026-03-11 23:18:21.000,0.06
2026-03-11 23:18:29.000,0.08
2026-03-11 23:18:33.000,0.14
2026-03-11 23:18:39.000,0.11
2026-03-11 23:18:43.000,0.03
2026-03-11 23:18:51.000,0
2026-03-11 23:18:55.000,0.17
2026-03-11 23:18:59.000,0.2
2026-03-11 23:19:07.000,0.02
2026-03-11 23:19:11.000,0
2026-03-11 23:19:19.000,0.04
2026-03-11 23:19:25.000,0.12
2026-03-11 23:19:29.000,0.17
2026-03-11 23:19:33.000,0.22
2026-03-11 23:19:37.000,0.19
2026-03-11 23:19:41.000,0.15
2026-03-11 23:19:45.000,0.16
2026-03-11 23:19:49.000,0.18
2026-03-11 23:19:51.000,0.15
2026-03-11 23:19:57.000,0.08
2026-03-11 23:19:59.000,0.05
2026-03-11 23:20:03.000,0.03
2026-03-11 23:20:07.000,0.09
2026-03-11 23:20:11.000,0.06
2026-03-11 23:20:19.000,0.01
2026-03-11 23:20:23.000,0.04
2026-03-11 23:20:27.000,0.11
2026-03-11 23:20:31.000,0.13
2026-03-11 23:20:35.000,0.09
2026-03-11 23:20:39.000,0.02
2026-03-11 23:20:45.000,0.03
2026-03-11 23:20:53.000,0
2026-03-11 23:21:09.000,0.26
2026-03-11 23:21:13.000,0.28
2026-03-11 23:21:17.000,0.32
2026-03-11 23:21:19.000,0.05
2026-03-11 23:21:23.000,0.04
2026-03-11 23:21:27.000,0.05
2026-03-11 23:21:31.000,0.06
2026-03-11 23:21:35.000,0.1
2026-03-11 23:21:39.000,0.07
2026-03-11 23:21:43.000,0.06
2026-03-11 23:21:47.000,0.03
2026-03-11 23:21:51.000,0.04
2026-03-11 23:21:55.000,0.07
2026-03-11 23:22:03.000,0.05
2026-03-11 23:22:07.000,0.01
2026-03-11 23:22:11.000,0.07
2026-03-11 23:22:13.000,0.08
2026-03-11 23:22:17.000,0.1
2026-03-11 23:22:21.000,0.04
2026-03-11 23:22:25.000,0.03
2026-03-11 23:22:33.000,0.02
2026-03-11 23:22:41.000,0
2026-03-11 23:22:45.000,0.03
2026-03-11 23:22:49.000,0.04
2026-03-11 23:22:55.000,0.01
2026-03-11 23:22:59.000,0
2026-03-11 23:23:11.000,0.03
2026-03-11 23:23:23.000,0
2026-03-11 23:23:35.000,0.03
2026-03-11 23:23:39.000,0.06
2026-03-11 23:23:43.000,0.09
2026-03-11 23:23:51.000,0.08
2026-03-11 23:23:55.000,0.09
2026-03-11 23:23:59.000,0.08
2026-03-11 23:24:07.000,0.06
2026-03-11 23:24:09.000,0.04
