Metric,Min,Med,95th_pct,99_5th_pct
Pressure,5.8,5.8,5.8,5.8
Epap,5.8,5.8,5.8,5.8
Leak rate,3.6,15.6,48.0,58.8
Resp rate,5.0,15.8,20.2,29.6
Flow limit,0.0,0.0,0.15,0.32
