date,timestamp_ms,datetime_utc,data_type,value
2026-04-16,1776397498000,2026-04-17 03:44:58.000,Breathing,-17.04
2026-04-16,1776397498640,2026-04-17 03:44:58.640,Breathing,-11.16
2026-04-16,1776397499280,2026-04-17 03:44:59.280,Breathing,-0.36
2026-04-16,1776397499920,2026-04-17 03:44:59.920,Breathing,14.04
2026-04-16,1776397500560,2026-04-17 03:45:00.560,Breathing,16.08
2026-04-16,1776397501200,2026-04-17 03:45:01.200,Breathing,15.96
2026-04-16,1776397501840,2026-04-17 03:45:01.840,Breathing,7.44
2026-04-16,1776397502480,2026-04-17 03:45:02.480,Breathing,-20.16
2026-04-16,1776397503120,2026-04-17 03:45:03.120,Breathing,-18.12
2026-04-16,1776397503760,2026-04-17 03:45:03.760,Breathing,-12.96
2026-04-16,1776397504400,2026-04-17 03:45:04.400,Breathing,4.8
2026-04-16,1776397505040,2026-04-17 03:45:05.040,Breathing,18.0
2026-04-16,1776397505680,2026-04-17 03:45:05.680,Breathing,16.2
2026-04-16,1776397506320,2026-04-17 03:45:06.320,Breathing,12.96
2026-04-16,1776397506960,2026-04-17 03:45:06.960,Breathing,-10.56
2026-04-16,1776397507600,2026-04-17 03:45:07.600,Breathing,-15.84
2026-04-16,1776397508240,2026-04-17 03:45:08.240,Breathing,-14.88
2026-04-16,1776397508880,2026-04-17 03:45:08.880,Breathing,-7.08
2026-04-16,1776397509520,2026-04-17 03:45:09.520,Breathing,17.76
2026-04-16,1776397510160,2026-04-17 03:45:10.160,Breathing,12.72
2026-04-16,1776397510800,2026-04-17 03:45:10.800,Breathing,12.48
2026-04-16,1776397511440,2026-04-17 03:45:11.440,Breathing,-11.64
2026-04-16,1776397512080,2026-04-17 03:45:12.080,Breathing,-23.64
2026-04-16,1776397512720,2026-04-17 03:45:12.720,Breathing,-19.56
2026-04-16,1776397513360,2026-04-17 03:45:13.360,Breathing,-6.96
2026-04-16,1776397514000,2026-04-17 03:45:14.000,Breathing,12.24
2026-04-16,1776397514640,2026-04-17 03:45:14.640,Breathing,15.0
2026-04-16,1776397515280,2026-04-17 03:45:15.280,Breathing,15.84
2026-04-16,1776397515920,2026-04-17 03:45:15.920,Breathing,10.32
2026-04-16,1776397516560,2026-04-17 03:45:16.560,Breathing,-17.52
2026-04-16,1776397517200,2026-04-17 03:45:17.200,Breathing,-19.56
2026-04-16,1776397517840,2026-04-17 03:45:17.840,Breathing,-11.88
2026-04-16,1776397518480,2026-04-17 03:45:18.480,Breathing,1.2
2026-04-16,1776397519120,2026-04-17 03:45:19.120,Breathing,15.72
2026-04-16,1776397519760,2026-04-17 03:45:19.760,Breathing,17.76
2026-04-16,1776397520400,2026-04-17 03:45:20.400,Breathing,14.04
2026-04-16,1776397521040,2026-04-17 03:45:21.040,Breathing,10.08
2026-04-16,1776397521680,2026-04-17 03:45:21.680,Breathing,-18.12
2026-04-16,1776397522320,2026-04-17 03:45:22.320,Breathing,-19.32
2026-04-16,1776397522960,2026-04-17 03:45:22.960,Breathing,-14.64
2026-04-16,1776397523600,2026-04-17 03:45:23.600,Breathing,-5.88
2026-04-16,1776397524240,2026-04-17 03:45:24.240,Breathing,13.92
2026-04-16,1776397524880,2026-04-17 03:45:24.880,Breathing,16.92
2026-04-16,1776397525520,2026-04-17 03:45:25.520,Breathing,13.08
2026-04-16,1776397526160,2026-04-17 03:45:26.160,Breathing,8.4
2026-04-16,1776397526800,2026-04-17 03:45:26.800,Breathing,-18.84
2026-04-16,1776397527440,2026-04-17 03:45:27.440,Breathing,-18.6
2026-04-16,1776397528080,2026-04-17 03:45:28.080,Breathing,-12.0
2026-04-16,1776397528720,2026-04-17 03:45:28.720,Breathing,2.64
2026-04-16,1776397529360,2026-04-17 03:45:29.360,Breathing,15.24
2026-04-16,1776397530000,2026-04-17 03:45:30.000,Breathing,13.56
2026-04-16,1776397530640,2026-04-17 03:45:30.640,Breathing,11.4
2026-04-16,1776397531280,2026-04-17 03:45:31.280,Breathing,-3.48
2026-04-16,1776397531920,2026-04-17 03:45:31.920,Breathing,-19.44
2026-04-16,1776397532560,2026-04-17 03:45:32.560,Breathing,-15.48
2026-04-16,1776397533200,2026-04-17 03:45:33.200,Breathing,-7.8
2026-04-16,1776397533840,2026-04-17 03:45:33.840,Breathing,11.88
2026-04-16,1776397534480,2026-04-17 03:45:34.480,Breathing,16.44
2026-04-16,1776397535120,2026-04-17 03:45:35.120,Breathing,13.44
2026-04-16,1776397535760,2026-04-17 03:45:35.760,Breathing,6.48
2026-04-16,1776397536400,2026-04-17 03:45:36.400,Breathing,-16.44
2026-04-16,1776397537040,2026-04-17 03:45:37.040,Breathing,-16.08
2026-04-16,1776397537680,2026-04-17 03:45:37.680,Breathing,-10.08
2026-04-16,1776397538320,2026-04-17 03:45:38.320,Breathing,-2.16
2026-04-16,1776397538960,2026-04-17 03:45:38.960,Breathing,15.36
2026-04-16,1776397539600,2026-04-17 03:45:39.600,Breathing,16.08
2026-04-16,1776397540240,2026-04-17 03:45:40.240,Breathing,12.24
2026-04-16,1776397540880,2026-04-17 03:45:40.880,Breathing,-3.0
2026-04-16,1776397541520,2026-04-17 03:45:41.520,Breathing,-19.2
2026-04-16,1776397542160,2026-04-17 03:45:42.160,Breathing,-15.0
2026-04-16,1776397542800,2026-04-17 03:45:42.800,Breathing,-7.92
2026-04-16,1776397543440,2026-04-17 03:45:43.440,Breathing,5.88
2026-04-16,1776397544080,2026-04-17 03:45:44.080,Breathing,15.72
2026-04-16,1776397544720,2026-04-17 03:45:44.720,Breathing,13.44
2026-04-16,1776397545360,2026-04-17 03:45:45.360,Breathing,9.0
2026-04-16,1776397546000,2026-04-17 03:45:46.000,Breathing,-10.2
2026-04-16,1776397546640,2026-04-17 03:45:46.640,Breathing,-18.36
2026-04-16,1776397547280,2026-04-17 03:45:47.280,Breathing,-13.44
2026-04-16,1776397547920,2026-04-17 03:45:47.920,Breathing,-5.16
