Timestamp_ET,LeakRate_Lpm
2026-03-07 02:07:37.000,26.4
2026-03-07 02:07:39.000,26.4
2026-03-07 02:07:39.000,0
2026-03-07 02:07:43.000,0
2026-03-07 02:07:43.000,1.2
2026-03-07 02:07:45.000,1.2
2026-03-07 02:07:45.000,0
2026-03-07 02:07:47.000,0
2026-03-07 02:07:47.000,2.4
2026-03-07 02:07:49.000,2.4
2026-03-07 02:07:49.000,6
2026-03-07 02:07:51.000,6
2026-03-07 02:07:51.000,4.8
2026-03-07 02:07:53.000,4.8
2026-03-07 02:07:53.000,6
2026-03-07 02:07:55.000,6
2026-03-07 02:07:55.000,7.2
2026-03-07 02:07:57.000,7.2
2026-03-07 02:07:57.000,8.4
2026-03-07 02:07:59.000,8.4
2026-03-07 02:07:59.000,6
2026-03-07 02:08:09.000,6
2026-03-07 02:08:09.000,7.2
2026-03-07 02:08:11.000,7.2
2026-03-07 02:08:11.000,6
2026-03-07 02:08:25.000,6
2026-03-07 02:08:25.000,7.2
2026-03-07 02:08:37.000,7.2
2026-03-07 02:08:37.000,6
2026-03-07 02:08:53.000,6
2026-03-07 02:08:53.000,7.2
2026-03-07 02:08:55.000,7.2
2026-03-07 02:08:55.000,6
2026-03-07 02:08:59.000,6
2026-03-07 02:08:59.000,4.8
2026-03-07 02:09:01.000,4.8
2026-03-07 02:09:01.000,6
2026-03-07 02:09:11.000,6
2026-03-07 02:09:11.000,7.2
2026-03-07 02:09:19.000,7.2
2026-03-07 02:09:19.000,6
2026-03-07 02:09:29.000,6
2026-03-07 02:09:29.000,7.2
2026-03-07 02:09:33.000,7.2
2026-03-07 02:09:33.000,6
2026-03-07 02:09:47.000,6
2026-03-07 02:09:47.000,7.2
2026-03-07 02:09:49.000,7.2
2026-03-07 02:09:49.000,6
2026-03-07 02:09:51.000,6
2026-03-07 02:09:51.000,7.2
2026-03-07 02:09:55.000,7.2
2026-03-07 02:09:55.000,6
2026-03-07 02:10:17.000,6
2026-03-07 02:10:17.000,7.2
2026-03-07 02:10:21.000,7.2
2026-03-07 02:10:21.000,6
2026-03-07 02:10:35.000,6
2026-03-07 02:10:35.000,7.2
2026-03-07 02:10:39.000,7.2
2026-03-07 02:10:39.000,6
2026-03-07 02:10:53.000,6
2026-03-07 02:10:53.000,7.2
2026-03-07 02:11:01.000,7.2
2026-03-07 02:11:01.000,6
2026-03-07 02:11:25.000,6
2026-03-07 02:11:25.000,7.2
2026-03-07 02:11:27.000,7.2
2026-03-07 02:11:27.000,6
2026-03-07 02:11:35.000,6
2026-03-07 02:11:35.000,7.2
2026-03-07 02:11:39.000,7.2
2026-03-07 02:11:39.000,6
2026-03-07 02:12:15.000,6
2026-03-07 02:12:15.000,7.2
2026-03-07 02:12:19.000,7.2
2026-03-07 02:12:19.000,6
2026-03-07 02:13:07.000,6
2026-03-07 02:13:07.000,7.2
2026-03-07 02:13:15.000,7.2
2026-03-07 02:13:15.000,6
2026-03-07 02:13:35.000,6
2026-03-07 02:13:35.000,7.2
2026-03-07 02:13:47.000,7.2
2026-03-07 02:13:47.000,6
2026-03-07 02:14:03.000,6
2026-03-07 02:14:03.000,7.2
2026-03-07 02:14:11.000,7.2
2026-03-07 02:14:11.000,6
2026-03-07 02:14:21.000,6
2026-03-07 02:14:21.000,7.2
2026-03-07 02:14:23.000,7.2
2026-03-07 02:14:23.000,6
2026-03-07 02:14:29.000,6
2026-03-07 02:14:29.000,7.2
2026-03-07 02:14:31.000,7.2
2026-03-07 02:14:31.000,6
2026-03-07 02:14:45.000,6
2026-03-07 02:14:45.000,7.2
2026-03-07 02:14:47.000,7.2
2026-03-07 02:14:47.000,6
2026-03-07 02:15:05.000,6
2026-03-07 02:15:05.000,7.2
2026-03-07 02:15:17.000,7.2
2026-03-07 02:15:17.000,6
2026-03-07 02:15:55.000,6
2026-03-07 02:15:55.000,7.2
2026-03-07 02:15:59.000,7.2
2026-03-07 02:15:59.000,6
2026-03-07 02:16:01.000,6
2026-03-07 02:16:01.000,7.2
2026-03-07 02:16:09.000,7.2
2026-03-07 02:16:09.000,6
2026-03-07 02:16:13.000,6
2026-03-07 02:16:13.000,7.2
2026-03-07 02:16:27.000,7.2
2026-03-07 02:16:27.000,8.4
2026-03-07 02:16:35.000,8.4
2026-03-07 02:16:35.000,7.2
2026-03-07 02:17:01.000,7.2
2026-03-07 02:17:01.000,8.4
2026-03-07 02:17:11.000,8.4
2026-03-07 02:17:11.000,7.2
2026-03-07 02:17:41.000,7.2
2026-03-07 02:17:41.000,8.4
2026-03-07 02:17:47.000,8.4
2026-03-07 02:17:47.000,7.2
2026-03-07 02:18:15.000,7.2
2026-03-07 02:18:15.000,8.4
2026-03-07 02:18:21.000,8.4
2026-03-07 02:18:21.000,7.2
2026-03-07 02:18:53.000,7.2
2026-03-07 02:18:53.000,8.4
2026-03-07 02:18:57.000,8.4
2026-03-07 02:18:57.000,7.2
2026-03-07 02:19:11.000,7.2
2026-03-07 02:19:11.000,10.8
2026-03-07 02:19:13.000,10.8
2026-03-07 02:19:13.000,2.4
2026-03-07 02:19:17.000,2.4
2026-03-07 02:19:17.000,3.6
2026-03-07 02:19:19.000,3.6
2026-03-07 02:19:19.000,2.4
2026-03-07 02:19:21.000,2.4
2026-03-07 02:19:21.000,4.8
2026-03-07 02:19:25.000,4.8
2026-03-07 02:19:25.000,6
2026-03-07 02:19:27.000,6
2026-03-07 02:19:27.000,8.4
2026-03-07 02:19:29.000,8.4
2026-03-07 02:19:29.000,6
2026-03-07 02:19:31.000,6
2026-03-07 02:19:31.000,8.4
2026-03-07 02:19:33.000,8.4
2026-03-07 02:19:33.000,6
2026-03-07 02:19:47.000,6
2026-03-07 02:19:47.000,7.2
2026-03-07 02:19:49.000,7.2
2026-03-07 02:19:49.000,6
2026-03-07 02:19:51.000,6
2026-03-07 02:19:51.000,8.4
2026-03-07 02:19:53.000,8.4
2026-03-07 02:19:53.000,6
2026-03-07 02:19:55.000,6
2026-03-07 02:19:55.000,7.2
2026-03-07 02:19:57.000,7.2
2026-03-07 02:19:57.000,6
2026-03-07 02:20:05.000,6
2026-03-07 02:20:05.000,7.2
2026-03-07 02:20:15.000,7.2
2026-03-07 02:20:15.000,4.8
2026-03-07 02:20:19.000,4.8
2026-03-07 02:20:19.000,9.6
2026-03-07 02:20:21.000,9.6
2026-03-07 02:20:21.000,4.8
2026-03-07 02:20:23.000,4.8
2026-03-07 02:20:23.000,6
2026-03-07 02:20:25.000,6
2026-03-07 02:20:25.000,4.8
2026-03-07 02:20:35.000,4.8
2026-03-07 02:20:35.000,7.2
2026-03-07 02:20:37.000,7.2
2026-03-07 02:20:37.000,6
2026-03-07 02:20:41.000,6
2026-03-07 02:20:41.000,4.8
2026-03-07 02:20:43.000,4.8
2026-03-07 02:20:43.000,6
2026-03-07 02:20:45.000,6
2026-03-07 02:20:45.000,4.8
2026-03-07 02:20:49.000,4.8
2026-03-07 02:20:49.000,6
2026-03-07 02:21:17.000,6
2026-03-07 02:21:17.000,7.2
2026-03-07 02:21:19.000,7.2
2026-03-07 02:21:19.000,6
2026-03-07 02:21:39.000,6
2026-03-07 02:21:39.000,4.8
2026-03-07 02:21:41.000,4.8
2026-03-07 02:21:41.000,6
2026-03-07 02:21:47.000,6
2026-03-07 02:21:47.000,4.8
2026-03-07 02:22:01.000,4.8
2026-03-07 02:22:01.000,6
2026-03-07 02:22:17.000,6
2026-03-07 02:22:17.000,4.8
2026-03-07 02:22:37.000,4.8
2026-03-07 02:22:37.000,6
2026-03-07 02:22:45.000,6
2026-03-07 02:22:45.000,4.8
2026-03-07 02:22:57.000,4.8
2026-03-07 02:22:57.000,6
2026-03-07 02:23:11.000,6
2026-03-07 02:23:11.000,4.8
2026-03-07 02:23:13.000,4.8
2026-03-07 02:23:13.000,6
2026-03-07 02:23:21.000,6
2026-03-07 02:23:21.000,4.8
