Timestamp_ET,LeakRate_Lpm
2026-03-16 01:09:50.000,0
2026-03-16 01:09:52.000,0
2026-03-16 01:09:52.000,2.4
2026-03-16 01:09:54.000,2.4
2026-03-16 01:09:54.000,1.2
2026-03-16 01:09:56.000,1.2
2026-03-16 01:09:56.000,0
2026-03-16 01:09:58.000,0
2026-03-16 01:09:58.000,18
2026-03-16 01:10:00.000,18
2026-03-16 01:10:00.000,13.2
2026-03-16 01:10:04.000,13.2
2026-03-16 01:10:04.000,10.8
2026-03-16 01:10:08.000,10.8
2026-03-16 01:10:08.000,9.6
2026-03-16 01:10:20.000,9.6
2026-03-16 01:10:20.000,8.4
2026-03-16 01:10:22.000,8.4
2026-03-16 01:10:22.000,9.6
2026-03-16 01:10:26.000,9.6
2026-03-16 01:10:26.000,8.4
2026-03-16 01:10:48.000,8.4
2026-03-16 01:10:48.000,7.2
2026-03-16 01:10:50.000,7.2
2026-03-16 01:10:50.000,8.4
2026-03-16 01:11:00.000,8.4
2026-03-16 01:11:00.000,7.2
2026-03-16 01:11:08.000,7.2
2026-03-16 01:11:08.000,8.4
2026-03-16 01:11:14.000,8.4
2026-03-16 01:11:14.000,7.2
2026-03-16 01:11:16.000,7.2
2026-03-16 01:11:16.000,8.4
2026-03-16 01:11:18.000,8.4
2026-03-16 01:11:18.000,7.2
2026-03-16 01:11:20.000,7.2
2026-03-16 01:11:20.000,6
2026-03-16 01:11:22.000,6
2026-03-16 01:11:22.000,7.2
2026-03-16 01:11:26.000,7.2
2026-03-16 01:11:26.000,6
2026-03-16 01:11:50.000,6
2026-03-16 01:11:50.000,8.4
2026-03-16 01:11:52.000,8.4
2026-03-16 01:11:52.000,4.8
2026-03-16 01:11:54.000,4.8
2026-03-16 01:11:54.000,6
2026-03-16 01:11:56.000,6
2026-03-16 01:11:56.000,3.6
2026-03-16 01:11:58.000,3.6
2026-03-16 01:11:58.000,4.8
2026-03-16 01:12:00.000,4.8
2026-03-16 01:12:00.000,3.6
2026-03-16 01:12:02.000,3.6
2026-03-16 01:12:02.000,4.8
2026-03-16 01:12:10.000,4.8
2026-03-16 01:12:10.000,6
