Timestamp_ET,FlowLimit
2026-03-16 01:09:50.000,0
2026-03-16 01:15:56.000,0.03
2026-03-16 01:16:08.000,0
2026-03-16 01:17:12.000,0.04
2026-03-16 01:17:24.000,0
2026-03-16 01:17:54.000,0.03
2026-03-16 01:18:04.000,0.06
2026-03-16 01:18:08.000,0.11
2026-03-16 01:18:18.000,0.2
2026-03-16 01:18:20.000,0.16
2026-03-16 01:18:28.000,0.02
2026-03-16 01:18:32.000,0.01
2026-03-16 01:18:40.000,0.13
2026-03-16 01:18:44.000,0.26
2026-03-16 01:18:48.000,0.39
2026-03-16 01:18:52.000,0.36
2026-03-16 01:18:56.000,0.31
2026-03-16 01:19:00.000,0.38
2026-03-16 01:19:02.000,0.32
2026-03-16 01:19:06.000,0.29
2026-03-16 01:19:10.000,0.2
2026-03-16 01:19:14.000,0.22
2026-03-16 01:19:22.000,0.13
2026-03-16 01:19:26.000,0.09
2026-03-16 01:19:30.000,0.12
2026-03-16 01:19:34.000,0.09
2026-03-16 01:19:38.000,0.15
2026-03-16 01:19:46.000,0.34
2026-03-16 01:19:50.000,0.32
2026-03-16 01:19:56.000,0.33
2026-03-16 01:20:00.000,0.22
2026-03-16 01:20:04.000,0.23
2026-03-16 01:20:08.000,0.2
2026-03-16 01:20:12.000,0.14
2026-03-16 01:20:16.000,0.18
2026-03-16 01:20:18.000,0.25
2026-03-16 01:20:22.000,0.22
2026-03-16 01:20:26.000,0.25
2026-03-16 01:20:30.000,0.18
2026-03-16 01:20:34.000,0.25
2026-03-16 01:20:38.000,0.2
2026-03-16 01:20:42.000,0.21
2026-03-16 01:20:46.000,0.19
2026-03-16 01:20:50.000,0.14
2026-03-16 01:20:54.000,0.21
2026-03-16 01:20:58.000,0.23
2026-03-16 01:21:02.000,0.26
2026-03-16 01:21:06.000,0.17
2026-03-16 01:21:10.000,0.23
2026-03-16 01:21:14.000,0.2
2026-03-16 01:21:16.000,0.25
2026-03-16 01:21:20.000,0.16
2026-03-16 01:21:28.000,0.1
2026-03-16 01:21:32.000,0.11
2026-03-16 01:21:34.000,0.07
2026-03-16 01:21:38.000,0.13
2026-03-16 01:21:42.000,0.1
2026-03-16 01:21:46.000,0.14
2026-03-16 01:21:50.000,0.1
2026-03-16 01:21:54.000,0.11
2026-03-16 01:21:56.000,0.07
2026-03-16 01:22:00.000,0.04
2026-03-16 01:22:04.000,0
2026-03-16 01:22:20.000,0.07
2026-03-16 01:22:24.000,0.09
2026-03-16 01:22:28.000,0.11
2026-03-16 01:22:32.000,0.04
2026-03-16 01:22:42.000,0.02
2026-03-16 01:22:48.000,0
2026-03-16 01:23:12.000,0.08
2026-03-16 01:23:20.000,0.09
2026-03-16 01:23:24.000,0.01
2026-03-16 01:23:34.000,0
2026-03-16 01:23:38.000,0.03
2026-03-16 01:23:40.000,0.14
2026-03-16 01:23:48.000,0.11
2026-03-16 01:23:52.000,0
2026-03-16 01:24:06.000,0.02
2026-03-16 01:24:08.000,0.04
2026-03-16 01:24:12.000,0.06
2026-03-16 01:24:16.000,0.05
2026-03-16 01:24:20.000,0.04
2026-03-16 01:24:24.000,0.12
2026-03-16 01:24:28.000,0.11
2026-03-16 01:24:32.000,0.14
2026-03-16 01:24:36.000,0.04
2026-03-16 01:24:50.000,0.09
2026-03-16 01:24:54.000,0.04
2026-03-16 01:25:00.000,0
2026-03-16 01:25:06.000,0.07
2026-03-16 01:25:10.000,0.21
2026-03-16 01:25:18.000,0.14
2026-03-16 01:25:20.000,0
2026-03-16 01:25:44.000,0.02
2026-03-16 01:25:52.000,0.03
2026-03-16 01:25:56.000,0.04
2026-03-16 01:26:00.000,0.16
2026-03-16 01:26:04.000,0.21
2026-03-16 01:26:08.000,0.18
