Timestamp_ET,FlowLimit
2026-03-14 22:32:15.000,0
2026-03-14 22:43:43.000,0.05
2026-03-14 22:43:47.000,0.1
2026-03-14 22:43:51.000,0.15
2026-03-14 22:43:53.000,0.09
2026-03-14 22:43:57.000,0.05
2026-03-14 22:44:01.000,0
2026-03-14 22:44:09.000,0.1
2026-03-14 22:44:13.000,0.23
2026-03-14 22:44:17.000,0.31
2026-03-14 22:44:19.000,0.21
2026-03-14 22:44:23.000,0.25
2026-03-14 22:44:27.000,0.3
2026-03-14 22:44:33.000,0.21
2026-03-14 22:44:37.000,0.17
2026-03-14 22:44:43.000,0.09
2026-03-14 22:44:47.000,0.02
2026-03-14 22:45:01.000,0
2026-03-14 22:45:07.000,0.01
2026-03-14 22:45:11.000,0.09
2026-03-14 22:45:15.000,0.11
2026-03-14 22:45:19.000,0.14
2026-03-14 22:45:23.000,0.09
2026-03-14 22:45:25.000,0.11
2026-03-14 22:45:29.000,0.06
2026-03-14 22:45:33.000,0.03
2026-03-14 22:45:37.000,0
2026-03-14 22:45:39.000,0.11
2026-03-14 22:45:45.000,0.14
2026-03-14 22:45:47.000,0.15
2026-03-14 22:45:51.000,0.19
2026-03-14 22:45:55.000,0.42
2026-03-14 22:45:57.000,0.45
2026-03-14 22:46:01.000,0.4
2026-03-14 22:46:05.000,0.17
2026-03-14 22:46:09.000,0.21
2026-03-14 22:46:11.000,0.13
2026-03-14 22:46:15.000,0.11
2026-03-14 22:46:19.000,0.09
2026-03-14 22:46:23.000,0.07
2026-03-14 22:46:27.000,0.18
2026-03-14 22:46:29.000,0.16
2026-03-14 22:46:33.000,0.24
2026-03-14 22:46:37.000,0.15
2026-03-14 22:46:41.000,0.14
2026-03-14 22:46:45.000,0.07
2026-03-14 22:46:49.000,0.02
2026-03-14 22:46:53.000,0
2026-03-14 22:46:55.000,0.03
2026-03-14 22:47:03.000,0.21
2026-03-14 22:47:07.000,0.25
2026-03-14 22:47:11.000,0.29
2026-03-14 22:47:15.000,0.16
2026-03-14 22:47:19.000,0.17
2026-03-14 22:47:23.000,0.21
2026-03-14 22:47:27.000,0.2
2026-03-14 22:47:29.000,0.11
2026-03-14 22:47:35.000,0.04
2026-03-14 22:47:37.000,0
2026-03-14 22:47:49.000,0.05
2026-03-14 22:47:51.000,0.25
2026-03-14 22:47:59.000,0.2
2026-03-14 22:48:03.000,0
2026-03-14 22:48:13.000,0.02
2026-03-14 22:48:17.000,0.05
2026-03-14 22:48:21.000,0.09
2026-03-14 22:48:25.000,0.12
2026-03-14 22:48:33.000,0.08
