Timestamp_ET,LeakRate_Lpm
2026-03-14 22:32:15.000,14.4
2026-03-14 22:32:17.000,14.4
2026-03-14 22:32:17.000,0
2026-03-14 22:32:19.000,0
2026-03-14 22:32:19.000,3.6
2026-03-14 22:32:21.000,3.6
2026-03-14 22:32:21.000,0
2026-03-14 22:32:23.000,0
2026-03-14 22:32:23.000,3.6
2026-03-14 22:32:25.000,3.6
2026-03-14 22:32:25.000,2.4
2026-03-14 22:32:27.000,2.4
2026-03-14 22:32:27.000,7.2
2026-03-14 22:32:29.000,7.2
2026-03-14 22:32:29.000,8.4
2026-03-14 22:32:31.000,8.4
2026-03-14 22:32:31.000,2.4
2026-03-14 22:32:33.000,2.4
2026-03-14 22:32:33.000,6
2026-03-14 22:32:35.000,6
2026-03-14 22:32:35.000,7.2
2026-03-14 22:32:37.000,7.2
2026-03-14 22:32:37.000,4.8
2026-03-14 22:32:39.000,4.8
2026-03-14 22:32:39.000,6
2026-03-14 22:32:41.000,6
2026-03-14 22:32:41.000,3.6
2026-03-14 22:32:43.000,3.6
2026-03-14 22:32:43.000,6
2026-03-14 22:32:49.000,6
2026-03-14 22:32:49.000,4.8
2026-03-14 22:32:51.000,4.8
2026-03-14 22:32:51.000,6
2026-03-14 22:32:53.000,6
2026-03-14 22:32:53.000,7.2
2026-03-14 22:33:13.000,7.2
2026-03-14 22:33:13.000,6
2026-03-14 22:33:15.000,6
2026-03-14 22:33:15.000,7.2
2026-03-14 22:33:27.000,7.2
2026-03-14 22:33:27.000,6
2026-03-14 22:33:29.000,6
2026-03-14 22:33:29.000,7.2
2026-03-14 22:33:33.000,7.2
2026-03-14 22:33:33.000,6
2026-03-14 22:33:37.000,6
2026-03-14 22:33:37.000,7.2
2026-03-14 22:33:41.000,7.2
2026-03-14 22:33:41.000,6
2026-03-14 22:33:49.000,6
2026-03-14 22:33:49.000,7.2
2026-03-14 22:33:55.000,7.2
2026-03-14 22:33:55.000,6
2026-03-14 22:34:01.000,6
2026-03-14 22:34:01.000,7.2
2026-03-14 22:34:03.000,7.2
