Metric,Min,Med,95th_pct,99_5th_pct
Pressure,5.6,5.6,5.6,5.6
Epap,5.6,5.6,5.6,5.6
Leak rate,1.2,8.4,20.4,25.2
Resp rate,8.4,15.4,18.2,23.2
Flow limit,0.0,0.0,0.12,0.3
